Familia profesional,Nivel Ciclo Formativo,Ciclo Formativo,Unidades de competencia acreditadas,Módulos profesionales convalidables
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC0719_2: Alimentar y realizar el manejo general y los primeros auxilios al ganado equino.,"1319. Alimentación, manejo general y primeros auxilios de équidos."
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,"UC0720_2: Efectuar la higiene, cuidados y mantenimiento físico del ganado equino.","1320. Mantenimiento físico, cuidados e higiene equina."
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC0721_2: Realizar el manejo del ganado equino durante su reproducción y recría.,"1321. Reproducción, cría y recría de équidos."
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC1136_2: Realizar las operaciones de preparación y acabado del herrado de equinos.,1322. Herrado de équidos.
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,"UC1122_2: Desbravar potros.
UC1123_2: Domar potros a la cuerda.",1323. Desbrave y doma a la cuerda de potros.
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC1124_2: Realizar la monta inicial de potros.,1324. Adiestramiento.
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC1080_2: Dominar las técnicas básicas de monta a caballo.,1325. Técnicas de equitación.
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC0722_2: Preparar y acondicionar el ganado equino para su presentación en exhibiciones y concursos.,1326. Exhibiciones y concursos de ganado equino.
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC1081_2: Guiar y dinamizar a personas por itinerarios a caballo.,"1327. Guía ecuestre.
1328. Atención a grupos."
Actividades físicas y deportivas,CFGM,Técnico en Actividades Ecuestres,UC1079_2: Determinar y organizar itinerarios a caballo por terrenos variados.,1329. Organización de itinerarios.
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC1080_2: Dominar las técnicas básicas de monta a caballo.,1325. Técnicas de equitación
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC1081_2: Guiar y dinamizar a personas por itinerarios a caballo.,"1327. Guía ecuestre.
1328. Atención a grupos."
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC0353_2: Determinar y organizar itinerarios en bicicleta por terrenos variados hasta media montaña.,1329. Organización de itinerarios.
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC0505_2: Determinar y organizar itinerarios por baja y media montaña.,1329. Organización de itinerarios.
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC1079_2: Determinar y organizar itinerarios a caballo por terrenos variados.,1329. Organización de itinerarios.
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,"UC0506_2: Progresar con eficacia y seguridad por terreno de baja y media montaña y terreno nevado de tipo nórdico.
UC0507_2: Guiar y dinamizar a personas por itinerarios de baja y media montaña y terreno nevado de tipo nórdico.","1328. Atención a grupos.
1333. Guía de baja y media montaña."
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,"UC0508_2: Conducir bicicletas con eficacia y seguridad por terrenos variados hasta media montaña y realizar el mantenimiento operativo de las bicicletas.
UC0509_2: Guiar y dinamizar a personas por itinerarios en bicicleta hasta media montaña.","1328. Atención a grupos.
1334. Guía de bicicleta."
